ST,TYPE,year,clsrmnths_mean,eligmnths_mean,ipemnths_mean,clsrmnths_sd,eligmnths_sd,ipemnths_sd,clsrmnths_median,eligmnths_median,ipemnths_median,clsrmnths_min,eligmnths_min,ipemnths_min,clsrmnths_max,eligmnths_max,ipemnths_max
Kentucky,General,2010,30.47672657,29.27452431,26.03242307,27.69505525,27.6055953,26.49383866,20.86666667,19.43333333,15.66666667,0.666666667,0.333333333,0,227.9333333,215.7666667,206.2666667
Kentucky,General,2011,33.24911119,31.98368999,28.47491508,30.43936833,30.29856944,29.43883009,23.76666667,22.36666667,18.43333333,0.333333333,0.233333333,0.033333333,259.7333333,255.8333333,253.7
Louisiana,Combined,2008,31.20132234,29.37093423,26.27709085,29.91602274,29.40324442,27.86792621,18.53333333,16.66666667,14.36666667,1.066666667,0.933333333,0.066666667,277.3333333,267.1666667,244.7
Louisiana,Combined,2009,34.94075349,33.07749646,29.81378705,31.60651321,31.20083895,29.94987359,23.3,21.66666667,19.13333333,0.8,0.633333333,0.3,258.9333333,256.7333333,255.8333333
Louisiana,Combined,2010,35.16811745,33.35290157,30.08070249,31.53951704,31.09982939,29.99955388,24.85,23.16666667,19.58333333,1.366666667,1.2,0.3,293.7666667,282.8,282.8
Louisiana,Combined,2011,33.59341004,31.8067643,28.73003487,29.72717752,29.44105686,28.23826933,23.4,21.66666667,19.3,1.333333333,0.433333333,0.033333333,326.1666667,321.1,317.1
Maine,Blind,2008,33.05532646,31.17353952,27.45292096,36.40579195,34.07939699,30.68920132,17.33333333,16.33333333,14.7,5,3.266666667,3.066666667,177.3,173.9666667,155.3666667
Maine,Blind,2009,34.58707865,33.44456929,30.12378277,34.55273218,34.19709497,31.72559849,22.43333333,21.01666667,18.31666667,3.666666667,2.633333333,0.233333333,195.2333333,195.2333333,195.2333333
Maine,Blind,2010,46.29967159,44.57356322,39.69343186,48.56076875,47.68402989,44.06085888,29.36666667,27.96666667,25.3,5.066666667,3.233333333,2.566666667,310.9666667,306.9666667,283.9666667
Maine,Blind,2011,35.04888889,33.29148148,29.86481481,28.29561262,27.28298677,26.21477891,26.35,24.06666667,21.28333333,2.433333333,1.133333333,1.133333333,243.1333333,216.6666667,216.4333333
Maine,General,2008,43.51373687,41.36348811,29.19530127,25.59052939,25.49599942,25.99501215,38.96666667,36.88333333,20.61666667,7.966666667,3.7,0,179.3333333,170.1,159
Maine,General,2009,43.74167894,41.56558665,28.82992145,28.83803711,28.69756677,29.08098216,36.55,34.53333333,20.41666667,8.4,6.266666667,0,325.9666667,312.9666667,312.9666667
Maine,General,2010,42.32925731,40.20450113,26.82088022,25.69314296,25.77537283,25.4963772,36.53333333,34.83333333,18.4,6.333333333,2.733333333,0,176.1666667,176.1666667,165.8333333
Maine,General,2011,38.75828025,36.62484076,24.13649682,27.8071261,27.73228511,25.50321675,32.28333333,29.91666667,14.88333333,1.4,1.366666667,0,238.7666667,233.8,233.8
Maryland,Combined,2008,32.01505021,30.2592241,25.85091484,22.81366546,22.0436144,22.34984119,24.9,23.3,18.7,3.933333333,3.133333333,0.3,211.6,205.3666667,205.3666667
Maryland,Combined,2009,33.29296183,31.8857362,26.09493013,24.05735207,23.43814351,24.29366229,27.55,26.15,20.18333333,1.766666667,1.533333333,0.133333333,207.1333333,192.9,192.9
Maryland,Combined,2010,28.8683135,27.65157572,22.23524216,22.96888889,22.33293858,21.79913471,22.5,21.53333333,14.36666667,0.966666667,0.933333333,0,212.4666667,209.6,209.0333333
Maryland,Combined,2011,33.21221646,32.06263405,27.09683222,25.55063127,25.05717451,24.16809104,26.3,25.23333333,20.26666667,0.233333333,0.1,0.1,243.8666667,243.6,243.6
Massachusetts,Blind,2008,42.31855072,41.04478261,40.12608696,53.96161514,52.17361799,51.83023772,16.96666667,16.83333333,16.55,0.4,0.4,0.4,262.1,261.2333333,261.2333333
Massachusetts,Blind,2009,43.77517361,42.94722222,41.07456597,47.4262876,45.7435646,43.63021869,26.1,25.68333333,23.65,1.4,1.4,0.866666667,299.9333333,295.1333333,295.1333333
Massachusetts,Blind,2010,54.69739176,53.91684924,52.64971309,58.32430559,57.22089418,56.45045058,31.16666667,31.16666667,29.1,0.433333333,0.266666667,0,334.6,327,323.7666667
Massachusetts,Blind,2011,41.0953168,40.31717172,38.58163453,55.89787007,54.68932555,52.67337096,16.43333333,16.33333333,15.7,1.533333333,1.533333333,0.666666667,297.1,288.5,288.1666667
Massachusetts,General,2008,38.10197562,36.24309934,21.70461679,29.20883643,28.7886678,20.45481053,29.16666667,27.8,15.16666667,0.3,0.3,0,368.9,367.3,259.4
Massachusetts,General,2009,39.28462939,37.57073693,28.02865253,29.19185286,28.72802683,21.92269002,31.23333333,29.7,22.8,2.033333333,1.333333333,0,268.3666667,267.2333333,240.2
Massachusetts,General,2010,36.91837911,35.34464728,27.01380722,27.31209397,26.88300926,23.02417518,29.46666667,27.83333333,19.31666667,0.166666667,0.166666667,0,242.9333333,240.7333333,138.1
Massachusetts,General,2011,37.42873971,36.10411108,28.38907181,28.77010124,28.26972805,23.85754457,30.38333333,29.13333333,20.63333333,0.4,0.233333333,0,298.5333333,289.3,253.0333333
Michigan,Blind,2008,44.76859504,43.01193756,39.6513315,39.54951236,39.03291741,38.19127735,31.66666667,30.63333333,27.1,1.633333333,0.933333333,0,183.6333333,183.1,182.6333333
Michigan,Blind,2009,45.56036822,43.9880814,41.26996124,42.20275357,41.84817504,40.69369996,30.91666667,29.86666667,26.4,2.666666667,2.466666667,1.5,238.8333333,237.8,229.7666667
Michigan,Blind,2010,43.08609576,41.61206262,38.89686924,39.96613024,39.26644804,37.49976542,28.91666667,28.05,26.56666667,0.833333333,0.766666667,0.433333333,226.8666667,224.8333333,222.8
Michigan,Blind,2011,42.33366667,40.90244444,38.334,37.98916121,37.8262278,36.84708747,30.51666667,28.95,25.98333333,1.6,1.066666667,1.066666667,216.4666667,214.4333333,208.8
Michigan,General,2008,20.61420947,19.45499614,17.12567947,20.03437231,19.74743323,18.47279469,14.23333333,13,11,0.233333333,0.233333333,0.066666667,206.7666667,204.7333333,196.1
Michigan,General,2009,19.61166927,18.49307176,16.46015209,19.05281013,18.81937259,17.69721671,13.6,12.36666667,10.5,0.266666667,0,0,218.5333333,212.7666667,212.7666667
Michigan,General,2010,20.13364896,18.93358084,16.88038828,19.01914339,18.82970566,17.76529414,14.3,12.96666667,11,0.166666667,0.166666667,0,267.5,256.2666667,256.2
Michigan,General,2011,20.54316951,19.26317388,17.22575579,19.68905496,19.43152276,18.39082041,14.4,13.06666667,11.2,0.033333333,0,0,277.7333333,274.7333333,269.0666667
Minnesota,Blind,2008,49.57282378,48.0537155,41.41677282,45.7989616,45.04065047,41.84088613,33.66666667,32.46666667,26.13333333,4.633333333,3.633333333,0.433333333,294.0333333,291.7,291.7
Minnesota,Blind,2009,35.82165605,34.56836518,29.01401274,30.16936472,29.79857518,27.21431434,27.63333333,26.76666667,19.66666667,3.433333333,3.366666667,3,144.5333333,142.1,138.4666667
Minnesota,Blind,2010,46.39247312,45.21677419,38.51569892,41.25286864,40.51336308,37.27389736,33.2,32.06666667,26.73333333,3.233333333,2.8,1.233333333,223.0333333,214.1666667,205.1333333
Minnesota,Blind,2011,36.71424501,35.602849,30.22649573,33.99788964,34.115588,30.55751895,26.4,24.6,18.73333333,3.6,3.5,2.933333333,186.1,186.1,177.7666667
Minnesota,General,2008,32.20285563,31.09257888,25.62585052,28.60623741,28.42915836,26.5020003,22.33333333,21.03333333,15.95,0.3,0.266666667,0.266666667,273.2666667,269.6666667,269.6333333
Minnesota,General,2009,29.28881141,28.27708051,23.42580541,24.82353861,24.6501105,23.09048364,20.96666667,20,15.76666667,1.433333333,0.966666667,0.033333333,191.6333333,191.2,183.7
Minnesota,General,2010,28.03019641,27.06805469,22.19655771,23.76071843,23.48656417,22.03159031,20.9,20.06666667,15.13333333,1.033333333,0.833333333,0,247.8,245.3,233.0333333
Minnesota,General,2011,26.44767146,25.5308251,20.88163372,21.14210718,21.00192924,19.50834885,20.26666667,19.53333333,14.3,1.266666667,1.2,0,201.2333333,199.5666667,197.3
Mississippi,Combined,2008,21.06219089,20.19383948,19.37877802,15.21351084,14.97073375,14.79281783,16.43333333,15.4,14.66666667,0.4,0.4,0.4,167.6,165.8,165.8
Mississippi,Combined,2009,20.09667458,19.27462391,18.40810429,13.11990666,12.97222682,12.75132942,16.43333333,15.6,14.8,0.466666667,0.266666667,0,154.5666667,152.6666667,152.3333333
Mississippi,Combined,2010,17.68876136,16.88099793,15.8426165,14.05817332,13.86926738,13.59141322,13.16666667,12.33333333,11.3,0.466666667,0.466666667,0.466666667,209.8333333,185.8666667,185.8666667
Mississippi,Combined,2011,17.59594311,16.73447551,15.73908195,13.16202735,13.00994241,12.69943495,13.53333333,12.66666667,11.76666667,0.1,0,0,150.9,149.7,146.8
Missouri,Blind,2008,33.00877193,32.27033493,30.19968102,32.09714858,31.93300684,30.85521122,19.06666667,18.1,16.33333333,3.366666667,3.266666667,3.266666667,187.9666667,183.8666667,181.0333333
Missouri,Blind,2009,32.90479103,32.12609582,30.73180428,32.17527239,31.71003013,31.00864219,19.26666667,18.3,17.16666667,3.9,3.766666667,3.666666667,193.8,188.5,187.3
Missouri,Blind,2010,29.74701646,29.13559671,27.49516461,28.0942196,28.04829638,27.57436305,18.58333333,17.8,16.68333333,2.066666667,2.066666667,0.9,145.0333333,144.0666667,139.6
Missouri,Blind,2011,34.81869919,34.11321138,32.4046748,33.66374836,33.54394071,33.16994736,20.85,20.25,17.93333333,1.733333333,0,0,163.9,163.9,163.9
Missouri,General,2008,24.03375881,23.07626215,17.76519972,20.67152715,20.45900607,19.63338348,17.33333333,16.4,10.6,1,1,0.333333333,196.4,185.3666667,183.3666667
Missouri,General,2009,23.55591924,22.62211176,17.72211686,20.4657318,20.34005318,19.39652118,16.8,15.88333333,10.66666667,1.133333333,0.933333333,0,190.8333333,189.0666667,186.3666667
Missouri,General,2010,22.34269264,21.43173046,16.39863664,18.9064451,18.8039137,17.85216501,16.6,15.76666667,10.16666667,1.566666667,1.266666667,0.133333333,200.1333333,198.3,194.3666667
Missouri,General,2011,22.63639093,21.69650681,17.07443119,19.58435723,19.13272408,17.67971021,16.96666667,16.03333333,10.9,0.8,0.566666667,0.066666667,194.0333333,177.3,123.7
Montana,Combined,2008,24.67901235,23.67050456,20.2928073,21.80822284,21.61644537,20.68623311,16.98333333,15.93333333,12.6,2.033333333,2.033333333,1.2,211.3,204.7,204.6333333
Montana,Combined,2009,24.39017668,23.33795053,20.1990106,21.12826593,20.89374876,19.74711729,17.13333333,16.23333333,13.06666667,2.133333333,1.8,0.6,173.3666667,161.9,159.8666667
Montana,Combined,2010,23.3161693,22.24244197,19.22525844,18.19649423,18.10993475,17.41939221,17.8,16.46666667,13.36666667,2,1.933333333,0.766666667,150.8666667,147.7333333,144.3666667
Montana,Combined,2011,24.22928733,23.18184432,20.15834874,20.7151231,20.66081083,19.77188504,18.03333333,16.9,13.8,0.466666667,0.3,0.3,193.8,192.1333333,189.4666667
Nebraska,Blind,2008,35.4325,34.70833333,32.32875,30.77983475,30.41188674,28.37167857,24.8,24.8,23.63333333,4.633333333,4.633333333,2.9,139.7,138.7,138.7
Nebraska,Blind,2009,31.38888889,30.70444444,28.57015873,27.98509359,27.54995931,26.17835233,22.4,21.86666667,20.13333333,2.4,2.4,1.8,159.6333333,159.4666667,159
Nebraska,Blind,2010,36.33843537,35.67346939,34.91326531,29.06204263,28.80235368,28.8181277,25.4,25.4,24.21666667,1.833333333,1.833333333,1.833333333,136.2,134.1666667,134.1666667
Nebraska,Blind,2011,35.748,34.98133333,32.65413333,33.1875774,32.97257832,31.24547528,27.3,26.36666667,24.43333333,0.866666667,0.766666667,0.766666667,165.5666667,164,163.9666667
Nebraska,General,2008,18.01438761,17.4592206,15.47146834,18.32108891,18.19408063,17.49339699,11.66666667,11.13333333,9.383333333,0.666666667,0.3,0.3,238.2666667,236.2,236.2
Nebraska,General,2009,16.85,16.33172706,14.38679003,16.78822908,16.75596968,16.07907513,11.1,10.6,8.666666667,0.433333333,0.233333333,0.2,217.4333333,216.3333333,216.3333333
Nebraska,General,2010,16.79140207,16.20260435,14.36958021,16.30801612,16.26029489,15.68706752,11,10.33333333,8.466666667,0.933333333,0.266666667,0.266666667,146.9333333,146.9333333,145.1
Nebraska,General,2011,17.89940341,17.28920707,15.21804968,17.18660713,17.16083716,16.54489159,11.93333333,11.23333333,9.2,0.766666667,0.466666667,0.466666667,154.3333333,154.2666667,152.2
Nevada,Combined,2008,13.7719037,12.8534624,10.32055101,12.51479991,12.3668306,11.35613022,10.1,9.066666667,6.666666667,0.866666667,0.1,0.033333333,136.6666667,135.8,132.8
Nevada,Combined,2009,14.96574867,13.98310894,11.13145655,12.84999967,12.76442877,11.63891204,11.23333333,10.13333333,7.5,1.566666667,0.833333333,0.433333333,128.8333333,127.7,118.7333333
Nevada,Combined,2010,15.70243859,14.61993904,11.53105612,13.95689817,13.85069481,13.25383328,12.73333333,11.36666667,7.833333333,0.666666667,0.3,0.233333333,270.4,260.5333333,260.5333333
Nevada,Combined,2011,15.67356682,14.67940408,11.46525527,12.53764531,12.45935147,11.10535039,12.1,10.9,7.9,1.166666667,0.6,0.233333333,126.4666667,123.5666667,106.7666667
New Hampshire,Combined,2008,26.58602069,25.88771133,21.57219278,23.91225468,23.73224765,21.87586463,18.53333333,17.86666667,14.23333333,0.7,0.7,0.7,259.3666667,246.7,246.7
New Hampshire,Combined,2009,31.3520938,30.57860972,26.55792295,26.68150915,26.52769831,25.29732836,23.75,23.31666667,18.35,1,1,1,311.1333333,300.6666667,299.1
New Hampshire,Combined,2010,26.6264998,25.9306913,21.75399285,25.30249844,25.1889295,23.53138949,17.93333333,16.98333333,12.88333333,1.166666667,1.166666667,1.166666667,337.2333333,323.2333333,323.2333333
New Hampshire,Combined,2011,27.00311858,26.18780579,22.26319328,25.30600784,25.23160235,23.81339009,17.8,16.53333333,12.86666667,2.233333333,1.6,0.733333333,182.3,182.3,179.1333333
New Jersey,Blind,2008,25.1718886,24.03498695,19.76692776,30.46025804,30.07612999,26.09898479,12.53333333,11.73333333,9.666666667,1.966666667,1.966666667,1.966666667,203.1,200.8,170.1333333
New Jersey,Blind,2009,26.47640538,25.27284244,20.15969913,31.19498446,30.74436274,25.49037258,14.9,13.43333333,10.9,1.1,1.1,1.1,235.7,233.3,205.2666667
New Jersey,Blind,2010,29.39105882,28.35678431,23.82352941,32.4802478,32.21586653,27.74439157,15.83333333,15.13333333,13.16666667,3.2,2.933333333,1.966666667,184.6,177.1,175.9666667
New Jersey,Blind,2011,27.33646362,26.16480541,21.99932318,30.34838974,29.83320813,24.78304583,14.7,13.51666667,11.61666667,2.3,1.866666667,1.866666667,151.2333333,151.2333333,142.6666667
New Jersey,General,2008,26.69370982,25.47798694,23.21278095,21.61967686,21.51153149,21.00505256,20.1,19,16.5,1.533333333,0.466666667,0.433333333,187.6666667,177.0666667,176.8666667
New Jersey,General,2009,26.74263942,25.57258408,23.31974457,21.19563411,21.096029,20.52047404,20.03333333,18.76666667,16.5,1.233333333,0.433333333,0.033333333,214.7333333,206.4666667,184.9666667
New Jersey,General,2010,25.5715186,24.35694385,22.0266951,21.18098419,21.03016553,20.58385007,19.33333333,18.16666667,15.7,0.666666667,0.233333333,0.133333333,242.8666667,221.6333333,221.6
New Jersey,General,2011,26.32028512,25.09202306,22.61298011,20.34066822,20.24319441,19.67021111,20.83333333,19.56666667,16.93333333,1.6,1,0.033333333,213.2,210.5333333,186.5666667
New Mexico,Blind,2008,55.25310734,53.90508475,51.9700565,36.94851607,36.54380765,36.29897336,52.73333333,51.76666667,49.03333333,6,5.933333333,4.666666667,182.6333333,179.5666667,179.5333333
New Mexico,Blind,2009,48.41232493,46.14369748,44.07030812,36.4311682,34.11596479,32.04591568,38.4,36.76666667,34.43333333,4.766666667,4.4,4.1,193.2333333,193.2,142.2333333
New Mexico,Blind,2010,63.24526749,61.87572016,57.70411523,57.40547649,56.6946698,51.72002685,47.83333333,46.5,42.4,4.833333333,4.8,4.4,239.0333333,236.0666667,213.6
New Mexico,Blind,2011,51.425,49.86702899,47.97826087,36.34436423,36.28846626,36.51542716,42.8,41.05,39.33333333,5.5,4.033333333,3.1,137.6666667,135.9333333,135.1
New Mexico,General,2008,19.99195506,18.6306367,16.81529588,17.6507817,17.42576403,16.91907217,14.23333333,12.8,10.76666667,0.866666667,0.866666667,0.666666667,154.1333333,152.6,141.6666667
New Mexico,General,2009,19.67283774,18.34195854,16.46969264,18.55596863,18.46936864,18.0771978,13.95,12.36666667,10.26666667,1.8,0.533333333,0.2,180.1666667,177.6,172.6666667
New Mexico,General,2010,20.24087409,18.87599638,16.88990036,17.67283252,17.55565084,17.22587829,14.96666667,13.38333333,11.1,1.533333333,0.533333333,0,145.1666667,144.0666667,141.8
New Mexico,General,2011,22.15083195,20.72888242,18.57031337,19.12095486,19.04505722,18.70063105,16.43333333,14.9,12.63333333,2.933333333,2.666666667,0.933333333,189.3666667,186.6666667,183.7333333
New York,Blind,2008,30.94015895,29.84343151,24.36245909,34.30199208,32.85757301,24.55361088,16.53333333,15.83333333,14.6,1.633333333,0.533333333,0,256.8333333,219.3,161.5666667
New York,Blind,2009,37.52408066,36.21476868,30.62805457,36.15237648,35.31058205,30.16706492,23.81666667,22.56666667,20.73333333,2.2,2.2,0.233333333,241.9333333,241.4666667,197.7
New York,Blind,2010,37.06534057,35.93423749,28.01301989,39.58017509,38.83730419,30.54644927,20.83333333,19.8,16.33333333,1.466666667,1.466666667,1.466666667,232.8333333,231.5,231.5
New York,Blind,2011,39.92039381,38.86272855,30.57412096,42.01009818,41.16224549,32.83838453,22.96666667,22.2,17.73333333,3.2,2.266666667,2.266666667,305.9,301.7333333,238.7666667
New York,General,2008,22.92019072,21.7881062,18.35171978,19.48143966,19.29794885,18.24131166,17.1,15.96666667,12.5,0.233333333,0.2,0.033333333,308.3333333,305.2333333,293.0333333
New York,General,2009,23.06010276,21.89672456,18.67766971,19.51499468,19.39248626,18.39597249,17.4,16.25,13.13333333,0.266666667,0.166666667,0.066666667,247.8,237.6666667,232.3666667
New York,General,2010,23.85784224,22.52495639,19.21065226,18.23344255,18.20029974,17.17670136,19.33333333,18,14.76666667,0.2,0,0,248.2,244.4666667,238.7
New York,General,2011,24.43999147,22.96811484,19.62459495,18.03775789,17.99821488,17.14928387,20.26666667,18.6,14.9,0.666666667,0.233333333,0.1,321.1333333,321,320.9666667
North Carolina,Blind,2008,25.59710725,24.9599466,23.56893636,26.40199074,26.24828299,24.65796564,15.96666667,15.4,14.53333333,1.766666667,1.766666667,0,207.9333333,207.0333333,207.0333333
North Carolina,Blind,2009,26.51185185,25.94151852,24.7197037,25.89665958,25.79795191,24.76291316,16.56666667,15.95,15.56666667,3.133333333,2.233333333,0,215.8666667,214.9333333,214.9333333
North Carolina,Blind,2010,23.08713911,22.45966754,21.41286089,23.05144306,23.03753374,21.85227947,15.31666667,14.75,14.33333333,1.5,0.833333333,0,189.3333333,188.4,188.4
North Carolina,Blind,2011,26.55236806,25.8962562,24.67857465,28.39130917,28.28589327,26.53048815,17.26666667,16.36666667,16.13333333,3.733333333,3.7,1.666666667,201.6666667,200.0666667,200.0666667
North Carolina,General,2008,27.76087613,26.4926947,24.75883266,23.58358952,23.40940814,22.81137053,20.5,19.13333333,17.23333333,0.433333333,0,0,226.3666667,218.2,184.7666667
North Carolina,General,2009,28.54858757,27.25400118,25.53533182,23.44725794,23.35652263,22.96673919,21.26666667,19.83333333,17.93333333,0.9,0.166666667,0,203.2666667,201.9,201.9
North Carolina,General,2010,28.81322073,27.45418435,25.62509478,23.36998931,23.26515306,22.76090988,22.13333333,20.73333333,18.8,0.133333333,0,0,261.3,256.4333333,256.4333333
North Carolina,General,2011,30.08636144,28.70801494,26.79667365,24.00382853,23.87918085,23.29345302,23.83333333,22.33333333,20.48333333,0.066666667,0.066666667,0,250.6333333,248.1333333,234.6333333
